address,instruction,opcode,x,y,n,kk,nnn,description
0x0200,0xA2B4,0xA000,0x0002,0x000B,0x0004,0x00B4,0x02B4,SET_I_EQUALSTO_0x02B4
0x0202,0x23E6,0x2000,0x0003,0x000E,0x0006,0x00E6,0x03E6,SUBROUTINE_CALL_0x03E6
0x0204,0x22B6,0x2000,0x0002,0x000B,0x0006,0x00B6,0x02B6,SUBROUTINE_CALL_0x02B6
0x0206,0x7001,0x7000,0x0000,0x0000,0x0001,0x0001,0x0001,SET_V[0x0000]_EQUALSTO_V[0x0000]+0x0001
0x0208,0xD011,0xD000,0x0000,0x0001,0x0001,0x0011,0x0011,DRAW_SPRITE_AT_COORDINATES_V[0x0000]V[0x0001]_WIDTH_8_HEIGHT_0x0001
0x020A,0x3025,0x3000,0x0000,0x0002,0x0005,0x0025,0x0025,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_EQUALS_0x0025
0x020C,0x1206,0x1000,0x0002,0x0000,0x0006,0x0006,0x0206,JUMP_0x0206
0x020E,0x71FF,0x7000,0x0001,0x000F,0x000F,0x00FF,0x01FF,SET_V[0x0001]_EQUALSTO_V[0x0001]+0x00FF
0x0210,0xD011,0xD000,0x0000,0x0001,0x0001,0x0011,0x0011,DRAW_SPRITE_AT_COORDINATES_V[0x0000]V[0x0001]_WIDTH_8_HEIGHT_0x0001
0x0212,0x601A,0x6000,0x0000,0x0001,0x000A,0x001A,0x001A,SET_V[0x0000]_EQUALSTO_0x001A
0x0214,0xD011,0xD000,0x0000,0x0001,0x0001,0x0011,0x0011,DRAW_SPRITE_AT_COORDINATES_V[0x0000]V[0x0001]_WIDTH_8_HEIGHT_0x0001
0x0216,0x6025,0x6000,0x0000,0x0002,0x0005,0x0025,0x0025,SET_V[0x0000]_EQUALSTO_0x0025
0x0218,0x3100,0x3000,0x0001,0x0000,0x0000,0x0000,0x0100,SKIP_NEXT_INSTRUCTION_IF_V[0x0001]_EQUALS_0x0000
0x021A,0x120E,0x1000,0x0002,0x0000,0x000E,0x000E,0x020E,JUMP_0x020E
0x021C,0xC470,0xC000,0x0004,0x0007,0x0000,0x0070,0x0470,SET_V[0x0004]_EQUALSTO_RANDOM
